datetime,row,e_invoice_number,epr_invoice_number,status,message
2026-02-10T06:17:51.912Z,42,B02416000220,202601317330230,Failed,"×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-02-10T06:17:58.300Z,83,B02416000661,202601317330444,Failed,"×
Error
Unable to verify the GST e-invoice: Total Amount Value in the uploaded e-invoice document are not matching with the GST Network information."
2026-02-10T06:18:14.500Z,92,B02416000748,202601317330496,Failed,"×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-02-10T06:18:20.099Z,100,B02416000853,202601317330547,Failed,"×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-02-10T06:18:34.403Z,111,B02416000946,202601317331985,Failed,"×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-02-10T06:18:48.177Z,126,B02416001088,202601317330817,Failed,"×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-02-10T06:18:59.017Z,171,B02416001706,202601317331165,Failed,"×
Error
Unable to verify the GST e-invoice: Seller GST number , Buyer GST number , Invoice number , Date of sale entry , Total Amount Value , HSN Code in the uploaded e-invoice document are not matching with the GST Network information.
×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-02-10T06:19:13.343Z,172,B02416001707,202601317331168,Failed,"×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-02-10T06:19:25.491Z,218,B02416002071,202601317331487,Failed,"×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-02-10T06:19:32.161Z,229,B02416002163,202601317331539,Failed,"×
Error
Unable to verify the GST e-invoice: Total Amount Value in the uploaded e-invoice document are not matching with the GST Network information."
2026-02-10T06:19:37.604Z,230,B02416002164,202601317331542,Failed,"×
Error
Unable to verify the GST e-invoice: Total Amount Value in the uploaded e-invoice document are not matching with the GST Network information."
2026-02-10T06:19:47.465Z,278,B02416002594,202601317331702,Failed,"×
Error
OpenCV(4.9.0) /io/opencv/modules/imgproc/src/color.cpp:196: error: (-215:Assertion failed) !_src.empty() in function 'cvtColor'
×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-02-10T06:20:05.581Z,281,B02416002625,202601317331712,Failed,"×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-02-10T06:20:08.396Z,318,B02416002998,202601317331852,Success,Already uploaded (green status).
2026-02-10T06:20:11.143Z,366,B02416003353,202601317332310,Success,Already uploaded (green status).
