datetime,row,e_invoice_number,epr_invoice_number,status,message
2026-02-10T05:58:37.726Z,2,B02416000001,202601287218533,Success,Already uploaded (green status).
2026-02-10T05:58:46.769Z,3,B02416000002,20260128721882,Failed,"×
Error
Unable to verify the GST e-invoice: Total Amount Value in the uploaded e-invoice document are not matching with the GST Network information."
2026-02-10T05:58:50.964Z,4,B02416000003,202601287219030,Success,Already uploaded (green status).
2026-02-10T05:58:54.752Z,5,B02416000004,202601287219084,Success,Already uploaded (green status).
2026-02-10T05:58:58.227Z,6,B02416000005,202601287219166,Success,Already uploaded (green status).
2026-02-10T05:59:01.853Z,7,B02416000006,202601287219221,Success,Already uploaded (green status).
2026-02-10T05:59:05.514Z,8,B02416000007,202601287219263,Success,Already uploaded (green status).
2026-02-10T05:59:12.769Z,9,B02416000009,202601287219299,Failed,"×
Error
Unable to verify the GST e-invoice: Total Amount Value in the uploaded e-invoice document are not matching with the GST Network information."
2026-02-10T05:59:20.801Z,10,B02416000010,202601287219349,Failed,"×
Error
Unable to verify the GST e-invoice: Total Amount Value in the uploaded e-invoice document are not matching with the GST Network information."
2026-02-10T05:59:24.503Z,11,B02416000011,202601287219384,Success,Already uploaded (green status).
2026-02-10T05:59:29.102Z,12,B02416000012,202601287219417,Success,Already uploaded (green status).
2026-02-10T05:59:33.400Z,13,B02416000014,202601287219450,Success,Already uploaded (green status).
2026-02-10T05:59:41.347Z,14,B02416000015,202601287219478,Failed,"×
Error
Unable to verify the GST e-invoice: Total Amount Value in the uploaded e-invoice document are not matching with the GST Network information."
2026-02-10T05:59:45.456Z,15,B02416000020,202601287219510,Success,Already uploaded (green status).
2026-02-10T05:59:49.056Z,16,B02416000021,202601287219543,Success,Already uploaded (green status).
2026-02-10T05:59:53.289Z,17,B02416000022,202601287219572,Success,Already uploaded (green status).
2026-02-10T06:00:02.633Z,18,B02416000023,202601287219599,Failed,"×
Error
Unable to verify the GST e-invoice: Total Amount Value in the uploaded e-invoice document are not matching with the GST Network information."
2026-02-10T06:00:10.335Z,19,B02416000035,202601287219631,Failed,"×
Error
Unable to verify the GST e-invoice: Total Amount Value in the uploaded e-invoice document are not matching with the GST Network information."
2026-02-10T06:00:17.420Z,20,B02416000043,202601287221100,Failed,"×
Error
Unable to verify the GST e-invoice: Total Amount Value in the uploaded e-invoice document are not matching with the GST Network information."
2026-02-10T06:00:21.587Z,21,B02416000045,202601287221537,Success,Already uploaded (green status).
