datetime,row,e_invoice_number,epr_invoice_number,status,message
2026-01-30T03:52:33.181Z,13,24008174,202601257111068,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:52:48.022Z,17,24008208,202601257111079,Failed,"×
Error
OpenCV(4.9.0) /io/opencv/modules/imgproc/src/color.cpp:196: error: (-215:Assertion failed) !_src.empty() in function 'cvtColor'"
2026-01-30T03:53:02.827Z,18,24008209,202601257111083,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:53:16.706Z,20,24008215,202601257111089,Failed,"×
Error
OpenCV(4.9.0) /io/opencv/modules/imgproc/src/color.cpp:196: error: (-215:Assertion failed) !_src.empty() in function 'cvtColor'"
2026-01-30T03:53:31.221Z,26,24008252,202601257111105,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:53:47.123Z,30,24008287,202601257111117,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:53:57.505Z,31,24008303,202601257111119,Failed,"locator.waitFor: Target page, context or browser has been closed
Call log:
[2m  - waiting for locator('#ScrollableSimpleTableBody tr').filter({ hasText: '202601257111119' }).first() to be visible[22m
"
2026-01-30T03:57:57.052Z,13,24008174,202601257111068,Failed,"×
Error
OpenCV(4.9.0) /io/opencv/modules/imgproc/src/color.cpp:196: error: (-215:Assertion failed) !_src.empty() in function 'cvtColor'
×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:58:06.996Z,17,24008208,202601257111079,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:58:15.973Z,18,24008209,202601257111083,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:58:24.591Z,20,24008215,202601257111089,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:58:32.968Z,26,24008252,202601257111105,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:58:41.295Z,30,24008287,202601257111117,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:58:50.151Z,31,24008303,202601257111119,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:58:59.412Z,39,24008357,202601257111151,Failed,"×
Error
Unable to verify the GST e-invoice: The QR code as required in the GST e-invoice is missing in the uploaded document."
2026-01-30T03:59:07.474Z,45,24008376,202601257111166,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T03:59:44.867Z,52,24008415,202601257111484,Success,"×
Success
The GST e-invoice was successfully validated with GST Network information and uploaded on the EPR Plastic Portal."
2026-01-30T04:00:21.930Z,54,24008420,202601257111487,Success,"×
Success
The GST e-invoice was successfully validated with GST Network information and uploaded on the EPR Plastic Portal."
2026-01-30T04:00:59.268Z,55,24008439,202601257111489,Success,"×
Success
The GST e-invoice was successfully validated with GST Network information and uploaded on the EPR Plastic Portal."
2026-01-30T04:01:07.316Z,56,24008443,202601257111490,Failed,"×
Error
Unable to verify the GST e-invoice: HSN Code in the uploaded e-invoice document are not matching with the GST Network information."
2026-01-30T04:01:43.823Z,57,24008444,202601257111491,Success,"×
Success
The GST e-invoice was successfully validated with GST Network information and uploaded on the EPR Plastic Portal."
